Date,Open,High,Low,Close,Volume
2021-07-07,15819.6,15893.55,15779.7,15879.65,329308646
2021-07-08,15855.4,15885.75,15682.9,15727.9,307928495
2021-07-09,15688.25,15730.85,15632.75,15689.8,243249366
2021-07-12,15766.8,15789.2,15644.75,15692.6,216272488
2021-07-13,15794,15820.8,15744.6,15812.35,246676549
2021-07-14,15808.7,15877.35,15764.2,15853.95,239924352
2021-07-15,15872.15,15952.35,15855,15924.2,284851049
2021-07-16,15958.35,15962.25,15882.6,15923.4,276298105
2021-07-19,15754.5,15836.9,15707.5,15752.4,242131813
2021-07-20,15703.95,15728.45,15578.55,15632.1,274284165
2021-07-22,15736.6,15834.8,15726.4,15824.05,265250867
2021-07-23,15856.8,15899.8,15768.4,15856.05,294098244
2021-07-26,15849.3,15893.35,15797,15824.45,267076679
2021-07-27,15860.5,15881.55,15701,15746.45,311012065
2021-07-28,15761.55,15767.5,15513.45,15709.4,318601589
2021-07-29,15762.7,15817.35,15737.8,15778.45,401584915
2021-07-30,15800.6,15862.8,15744.85,15763.05,400021237
2021-08-02,15874.9,15892.9,15834.65,15885.15,244847433
2021-08-03,15951.55,16146.9,15914.35,16130.75,341289658
2021-08-04,16195.25,16290.2,16176.15,16258.8,427337644
2021-08-05,16288.95,16349.45,16210.3,16294.6,418174517
2021-08-06,16304.4,16336.75,16223.3,16238.2,320087281
2021-08-09,16281.35,16320.75,16179.05,16258.25,240452917
2021-08-10,16274.8,16359.25,16202.25,16280.1,287989486
2021-08-11,16327.3,16338.75,16162.55,16282.25,277895886
2021-08-12,16303.65,16375.5,16286.9,16364.4,280181324
2021-08-13,16385.7,16543.6,16376.3,16529.1,321866286
2021-08-16,16518.4,16589.4,16480.75,16563.05,254049330
2021-08-17,16545.25,16628.55,16495.4,16614.6,297388470
2021-08-18,16691.95,16701.85,16535.85,16568.85,251796822
2021-08-20,16382.5,16509.55,16376.05,16450.5,350819323
2021-08-23,16592.25,16592.5,16395.7,16496.45,275597782
2021-08-24,16561.4,16647.1,16495.3,16624.6,275362819
2021-08-25,16654,16712.45,16617.5,16634.65,265920141
2021-08-26,16627.95,16683.7,16603.4,16636.9,253530997
2021-08-27,16642.55,16722.05,16565.6,16705.2,217405743
2021-08-30,16775.85,16951.5,16764.85,16931.05,283483108
2021-08-31,16947.5,17153.5,16915.85,17132.2,464390247
2021-09-01,17185.6,17225.75,17055.05,17076.25,301894634
2021-09-02,17095.4,17245.5,17059.7,17234.15,242377518
2021-09-03,17262.45,17340.1,17212.2,17323.6,261373795
2021-09-06,17399.35,17429.55,17345.55,17377.8,228045532
2021-09-07,17401.55,17436.5,17287,17362.1,243417811
2021-09-08,17375.75,17383.4,17254.2,17353.5,252652423
2021-09-09,17312.85,17379.65,17302.7,17369.25,241509352
2021-09-13,17363.55,17378.35,17269.15,17355.3,241053924
2021-09-14,17420.35,17438.55,17367.05,17380,230354386
2021-09-15,17387.65,17532.7,17386.9,17519.45,388191629
2021-09-16,17539.2,17644.6,17510.45,17629.5,503310763
2021-09-17,17709.65,17792.95,17537.65,17585.15,508285916
2021-09-20,17443.85,17622.75,17361.8,17396.9,339102046
2021-09-21,17450.5,17578.35,17326.1,17562,363578479
2021-09-22,17580.9,17610.45,17524,17546.65,295191136
2021-09-23,17670.85,17843.9,17646.55,17822.95,320514486
2021-09-24,17897.45,17947.65,17819.4,17853.2,360130853
2021-09-27,17932.2,17943.5,17802.9,17855.1,295714657
2021-09-28,17906.45,17912.85,17576.1,17748.6,397997281
2021-09-29,17657.95,17781.75,17608.15,17711.3,562237732
